Name,3-gram 1,3-gram  2,3-gram  3,3-gram  4,3-gram  5
Shen Yang,to fill input,input with abbreviation,fill input with,added ability to,ability to fill
Shizcow,slight performance boost,performance boost in,in term switching,boost in term,another slight performance
Shokupanman,merge pull request,to the meet,the meet up,request 49 from,pull request 49
Shougo,merge pull request,request 163 from,pull request 163,from deopletepluginssyntaxblacksources run,deopletepluginssyntaxblacksources run black
Shruti,merge branch master,branch master of,of httpsgithubcominspirationroboticsinspirationftc conflicts,master of httpsgithubcominspirationroboticsinspirationftc,httpsgithubcominspirationroboticsinspirationftc conflicts teamcodesrcmainjavaorgfirstinspiresftcteamcodehardwareconstantsjava
Sijie Guo,a specific broker,tool for operations,operations of a,of a specific,modifications add a
Silvan Mosberger,the nixops migration,stateversionswere left out,readd stateversionswere left,out from the,left out from
Sixtomaster,las listas compartidas,visualizar las listas,visual pero funcionando,via uploadesta es,version de la
Snoopy Crime Cop,merge master dorg,dorg ssuccessonly pr,uptodatemerged prs pr,master dorg ssuccessonly,master dorg ssuccessonlyrepository
Spencer Wood,allow one to,will caused by,when context is,wait for wookiee,up time to
Sridhar Ratnakumar,load blurb from,blurb from markdown,markdown advance rib,markdown 5 load,from markdown advance
Stepan Koltsov,when bytes feature,warning when bytes,unused method warning,method warning when,fix unused method
Stephan Risi,merge pull request,with 2nd degree,up namepreprocessingi know,to make tests,these changes before
Stephen Ramsay,up some variables,to the forecast,the forecast and,some more information,more information to
Steve B,to disable button,select func for,random select func,options array added,logic to disable
Sugu Sougoumarane,merge pull request,fix panic in,was an unnecessary,vstreamertestfixes 5636there was,unnecessary error check
Sunkwan Kwon,it is not,instead of the,will not be,variable should be,use one timer
THGABS,zhcnlangnew translation from,update zhcnlangnew translation,translation from chinese,from chinese minecraft,chinese minecraft wiki
Talen Fisher,merge pull request,request 9 from,pull request 9,to be a,that cythralcloudformationcustomresource adds
Tanner,thrown for multiple,scanner error thrown,multiple test cases,last commit before,handling scanner error
Tfarcenim,when picked up,voided when picked,up by satchels,satchels and addresses,picked up by
Tiago Boeing,websecure via cli,use websecure via,for use websecure,fix command for,command for use
Tianon Gravi,variant of redisbasics,tls variant of,then only after,testthis only applies,redisbasics testthis only
Tim Harper,use expungeafterseconds 0,update integration test,to use expungeafterseconds,test to use,integration test to
Tobias Briones,that i had,scripts that i,i had from,had from 2016,from 2016 added
Tom McDonald,jit helper frames,in dac stackwalker,hide jit helper,helper frames in,frames in dac
Tom Powers,merge pull request,to be used,request 6 from,pull request 6,used in main
Tomas Janousek,there is a,set the address,we set the,race between us,mac address for
Travis,merge pull request,request 197 from,pull request 197,from sroach1028beautifyingwebsitebeautifying website,197 from sroach1028beautifyingwebsitebeautifying
Travis CI User,travis ci auto,ci auto builder,builder at 20200101,auto builder at,at 20200101 0859
Trenton Arndt,the shield from,the health of,shield from the,separating the shield,of the boss
Truong Nguyen`,update data file,file at 20200101t005156144z,data file at,at 20200101t005156144z ci,20200101t005156144z ci skip
Tsz-wo Sze,upgradegitsvnid httpssvnapacheorgreposasfhadoopcommonbrancheshdfs55351559304 13f7953547bb03109956ffa450edef68,typo in dfsclientrenewlease,trunkgitsvnid httpssvnapacheorgreposasfhadoopcommonbrancheshdfs55351559305 13f7953547bb03109956ffa450edef68,through r1559304 from,support query and
TylerSeiford,v002 still need,still need a,need a cap,for the strip,cap for the
Unit Test App,this is a,test push with,is a test,a test push,push with 709967
Unknown,work on tilesimplemented,tilesimplemented rule tiles,tiles and made,tile test scene,started work on
Vanessa Sochat,version of the,vanessa sochat vsochatstanfordedu,to be consistent,be consistent with,with removal of
Vemahk,would require that,would just handle,would be a,will complete immediately,updates to that
Vish Potnis,vscode files and,update gitignore to,to include vscode,structure and basic,initial dir structure
Vivian L,merge pull request,viviaannmasterchanged some text,request 71 from,pull request 71,from viviaannmasterchanged some
WandererFan,tdadd arrow style,style pyramid contributed,pyramid contributed by,contributed by lidiriel,arrow style pyramid
WayneMRP,do listy frankstatham,łamanie lkiz 3,nagminne łamanie lkiz,miesiące apelacjahttpsmrucznikrppltopic90581banfrankstatham ,lkiz 3 miesiące
WillHoll,to sweet alert,sweet alert in,change to sweet,alert in header,small change to
William Woodruff,windows new table,table ntfsjournalevents 5371coauthoredby,reece garretreeceusersnoreplygithubcom coauthoredby,ntfsjournalevents 5371coauthoredby garret,new table ntfsjournalevents
Wink Saville,trackpointpy added mkcsvheader,tests tcstocsvpy added,tcstocsvpy added passing,support for csv,row trackpointpy added
Wyatt Pearsall,merge pull request,to full width,styles to full,set print styles,request 99 from
Yen Ju Lai,merge pull request,from 207 to,request 4 from,pull request 4,rack from 207
Yevgeniy Miretskiy,when retryingrelease note,when importing over,transient errors when,to connection reset,to connection interruption
Yong Zhang,we need to,there is no,nettyall4132finaljar4132final at ionettychannelabstractchannelhandlercontextinvokechannelreadabstractchannelhandlercontextjava348,ionettychannelabstractchannelhandlercontextinvokechannelreadabstractchannelhandlercontextjava362 nettyall4132finaljar4132final at,ionettychannelabstractchannelhandlercontextinvokechannelreadabstractchannelhandlercontextjava348 nettyall4132finaljar4132final at
Yoshi Tashiro,use it as,this tax and,the 8 tax,tax of 10,tax group fiscal
Yoshitaka Terazawa,merge pull request,update dependency typescript,typescript to v374,request 159 from,pull request 159
Zachary Rondos,xcode to your,to your github,your github account,xcodeandgithubmdhere is my,tutorial on connecting
Zachary Spector,test for compound,for compound historical,compound historical queries,another test for,add another test
Zack Johnson,raw images folder,maptemp art first,map and raw,first maptemp art,first map and
Zevest,testfixed missing importadded,pjfx test project,missing importadded pjfx,issue and added,importadded pjfx test
"Zheng, Lei",there is no,will get the,will delay the,why this problem,which is fixed
Zoom.Quiet,upgradeplanet auto by,from aoi in,crontab from aoi,by crontab from,auto by crontab
aaveg,tracking of bounding,of bounding boxes,implemented tracking of,boxes along various,bounding boxes along
adityamaddala,with azure pipelinesskip,up ci with,set up ci,ci with azure,azure pipelinesskip ci
adridg,so that the,now it does,you can still,with openal installed,was already there
ainstushar,version 74921expected eacdd24d48fecc6ee133495d3ee62f351b656ef18cf5c6728b6c7cd52e713641,updated sha for,sha for latest,latest version 74921expected,for latest version
ajrhacker,merge pull request,request 6113 from,pull request 6113,from fakeshemppatch1c64cassxml update,fakeshemppatch1c64cassxml update bmxracersa3
albertgoncalves,path only for,only for linux,linux for now,for now anyways,for linux for
algol60,with text that,too long for,the drawing buffer,that is too,text that is
andres.robles,http client to,uses of the,usersrefactor all uses,use the adapter,to use the
angelruiz,revert working in,working in design,of color background,in design of,design of color
anouarbensaad,tunisia sort alphabetic,state of tunisia,sort alphabetic ,places and state,of tunisia sort
ardnew,with proper oop,version class to,to prevent name,to arduino c,rename version class
balace ballack,server management of,support for dropbox,pics added support,of venue pics,of gallery pics
bbertolani,merge pull request,request 9 from,pull request 9,from bbertolani8checkins8 checkins,9 from bbertolani8checkins8
bbittiker1,update serializejavascript to,to 211 as,serializejavascript to 211,per github vulnerablity,github vulnerablity suggestion
belinda-wong,tls authentication on,enabling tls authentication,authentication and authorization,the link issue,see enabling tls
blau0123,merge pull request,request 78 from,pull request 78,from blau0123mastersome home,blau0123mastersome home css
bors,auto merge of,usage ofatomicsizeinit and,them in the,the usage ofatomicsizeinit,so removing anyoccurences
cameronshinn,still needs work,try again to,to fix about,servers newline after,reaction handling still
cckellogg,bookiemem and bookiegc,when running in,vars if set,useful when running,use bookiemem and
cgschu1tz,were a giant,waste of time,plugins were a,giant waste of,a giant waste
cjxd-bot-test,merge pull request,request 1 from,pull request 1,request 2 from,pull request 2
clairedavies,using iioe data,update info for,sti using iioe,info for sti,for sti using
closedsum,wip updating naming,updating naming for,naming for data,for data related,data related items
confusdcodr,packages in travis,makefile and update,fix makefile and,dependabot configurations fix,configurations fix makefile
congbo,verifying this change,this change add,the logical for,schema compatibility strategy,schema compatibility check
daneshchacko,tanjung piai to,rename metadata of,piai to tanjungpiaimetadataandlicence,p165 tanjung piai,of p165 tanjung
deepscanbot,merge branch master,branch master of,of httpsgithubcomautomatticwpcalypso into,master of httpsgithubcomautomatticwpcalypso,httpsgithubcomautomatticwpcalypso into head
deidra,working on getting,update still working,update correctly this,to show and,this is just
dependabot-preview[bot],from 4414 to,webpack from 4414,testsbumps githubcomgruntworkioterratesthttpsgithubcomgruntworkioterratest from,in testsbumps githubcomgruntworkioterratesthttpsgithubcomgruntworkioterratest,from 121218 to
dependabot[bot],from 3121 to,3121 to 3122,from 412 to,from 207 to,puma from 3121
dhrumpy,to the keyword,the keyword name,the data pertaining,pertaining to the,data pertaining to
doctor4t,to combine books,recipe to combine,combine books with,books with pages,add recipe to
duncan ralph,tue dec 31,pushed on tue,on tue dec,forecasts pushed on,dec 31 165121
ehuan2,to be changed,of classes to,classes to be,bunch of classes,be changed later
eileen,wasnt running reliably,to strip out,the class wasnt,test on buildmembershiptypevalues,strip out some
ejelome,with onepaged homepage,with homepageadded sphinxpowered,theme with homepageadded,technical documentation in,sphinxpowered technical documentation
elangovan sivanandam,merge pull request,race between us,between us and,us and udev,set race between
enpuyou,to be consistent,be consistent with,message to be,exception message to,change exception message
erfankashani,merge pull request,from 3121 to,3121 to 3122,request 3 from,pull request 3
ericberman,svn 6899 allow,null lastactivity lastlogin,lastlogin and lastpasswordchange,lastactivity lastlogin and,for null lastactivity
fernandohernandezpaz,transparencia a los,por genero aplicando,por educacion grafico,para grafico por,metas por genero
fxnoob,whatsapp web cli,web cli radhey,radhey radhey and,radhey and new,new yearmessage init
garfield69,publishers as at,listeners and publishers,events listeners and,as at v114,and publishers as
geekwise-korey-nichols,be able to,to be able,to add new,update changed serializers,to branch with
george,tue dec 31,version tue dec,new version tue,dec 31 164350,31 164350 std
gforney,merge pull request,windows gcc compiler,when using windows,wchart when using,using windows gcc
github username,tool name format,to search method,search method in,output format for,modify date output
gwmatthews,pages and add,out more pages,more pages and,fix find out,find out more
hayden7913,with regualr mongo,replace aggregation with,rename to countactiveroutesbyexitnodes,rename getmonitorupdates countactiveroutesbyexitnodesrefactor,regualr mongo query
hellenxu,wrap up before,up before potential,potential new features,of as a,news of as
heroku-bot,main 1 file,file 3 3,facebook main 1,am facebook main,20200101 1249 am
hi-the-swan,to help analyze,results and log,help analyze results,class autoreviewanalysis to,autoreviewanalysis to help
hkw,update link to,to sdetautomation and,sdetautomation and update,link to sdetautomation,and update test
huangdx0726,”commongodbasyncclient” package with,use reactivestreams client,sink 5635fixes 5612,replace ”commongodbasyncclient” package,reactivestreams client for
hunter-heidenreich,more counts and,hashing of bills,counts and hashing,and hashing of,add more counts
hww1996,fixed bug fixed,bug fixed bug,添加新的member change的方法 43,修复使用旧conf的bug bug fixed,fixed 新的member change的方法
id405,up multiple spaces,take up multiple,tabes take up,spaces defined by,multiple spaces defined
iwilliamson,testers issue 7336,mame testers issue,issue 7336 6116,intvoice fix mame,intellivoice for intvoice
jadcoinc,merge pull request,request 7 from,pull request 7,jadcoincsection2lesson22created book controller,from jadcoincsection2lesson22created book
jbeich,github watch releases,by github watch,x86 for now,x11wmsway update to,x11toolkitswlroots update to
jenkins-x-bot,merge pull request,was jx step,versions filter images,step create pr,run was jx
jerryfishzz,only for the,with browsing so,userbehavior state to,userbehavior is only,user behavior state
jhale,update to 582pr,to 582pr 243008submitted,financeaqbanking update to,by eric freebsdkrausseredvde,582pr 243008submitted by
jnm2,warning rather than,than crashing with,report warning rather,rather than crashing,crashing with nre
jofsky,📦 updating files,working version merging,version merging with,updating files for,merging with master
johan gace,update the book,the book challenge,challenge for 2019,book challenge for, update the
jonathansadowski,update error handling,to progress page,progress page update,polling to progress,page update error
joshith,to provide stoploss,to honor strategies,strategies to provide,provide stoploss takeprofit,honor strategies to
jz0001,to render cards,thisstatesearchresult is not,started rendering search,search results in,results in semantic
ke0m,scripts for creation,qc of prestack,prestack and postack,of prestack and,for creation and
kmorgan8588,updates post route,to accept a,the entire bodyalso,the body rather,than the entire
kosukesaigusa,wed jan 1,site wed jan,rebuilding site wed,jan 1 095251,1 095251 jst
kt,use exampleresources for,the format acctestrg1234567890,resource groups follow,groups follow the,for rg name
li-xie,to allow number,test newborns vary,of test newborns,number of test,modified to allow
linimon,is not known,fix build on,version 421approved by,to cxx compiler,the compiler feature
lipenghui,verifying this change,too low for,read 0 entries,is too low,increase redelivery count
mambax7,or class usage,mismatch in method,method call or,in method call,case mismatch in
mark m,wmi results 5504,to exec methods,on wmi results,methods on wmi,exec methods on
mateo4martinez,values to zero,the input values,so far quickly,quickly defaulted the,looks good so
mattdeitke,writing to closed,to closed stdin,fix brokenpipeerror caused,ffmpeg writing to,caused by ffmpeg
mestizoLopez,new methods for,methods for http,for http client,adding new methods,using objectserializer and
michael-doll,merge branch master,branch master of,of httpsgithubcommichaeldollfullstackmicrowebapplicationserver into,into dev conflicts,httpsgithubcommichaeldollfullstackmicrowebapplicationserver into dev
mika,to activate recent,recent grid if,key to activate,if empty search,grid if empty
milenaonmaui,use redirect for,switch in mealscontainer,redirect for incorrect,meal id and,incorrect meal id
mklewandowski,tool to export,to export graph,graph as image170222768,export graph as,add tool to
mobile-bungalow,up of replies,replies for mobile,replies but really,replies 87 mobile,refactor clean up
mokumus,year commit also,new year commit,happy new year,commit also aco,also aco tests
neilprado,request e response,relacionamento para nn,para nn com,nn com classe,modificando relacionamento para
neotsn neotsn,updates from 328,template updates from,panel template updates,control panel template,user control panel
netdatabot,package build process,latest package build,build process trigger,rpmbuild latest package,debbuild latest package
nhloder,merge pull request,request 21 from,pull request 21,to sweet alert,sweet alert in
nlog2n2,writed tmp code,tmp code i,i am fixing,code i am,am fixing now
ntysdd,repeated conditional test,potential npe and,npe and repeated,fix potential npe,and repeated conditional
outage-scrapers,with 4 customers,outages added with,added with 4,4 outages added,4 customers affected
pcubillos,when open actually,to request a,to open pdf,tests except for,testedadded mockwebbrowser fixture
pkubaj,fix build on,on gcc architecturesdevil,noconfigure error cant,needs c11 compilerchecking,lve without devil
pownkel,variables add applicationinsightsclient,to health api,to container handle,test runs in,secretsenv variables add
qronix,user registration to,to register and,to be selected,to be handled,to be controlled
quantum9Innovation,you wouldnt believe,wouldnt believe itthe,knew you wouldnt,i knew you,believe itthe unbelizeable
rene,for more than,when ndk is,via usesssl instead,using ndk default,usesssl instead of
romankagan,updated kotlin to,to 6x versions,to 1361 and,kotlin to 1361,gradle to 6x
rtrouton,merge pull request,request 60 from,pull request 60,kurehawarumasterimproved the scripts,from kurehawarumasterimproved the
santorregroza,with the projects,updated the index,update index pagesadded,to 2020 in,the projects page
sapeled3,for post and,post and topic,notification for post,create notification for,and topic like
serik1987,the manifest file,metadata from the,loading metadata from,from the manifest,added loading metadata
simerplaha,use null in,remove option and,option and use,null in mergelist,and use null
skullbe,merge pull request,request 2211 from,request 2210 from,request 2207 from,request 2206 from
skyblockz,user automated change,responsible user automated,bound price of,change changed the,automated change changed
snyk-bot,with an upgrade,vulnerabilitiesthe following vulnerabilities,vulnerabilities are fixed,upgrade orgspringframeworkspringweb from,upgrade orgapachestrutsstruts2springplugin from
sthen,move tests to,update to snail14916,update to pyicalendar404,to snail14916 from,to pyicalendar404 move
stolen data,x 1010yosemite compatibility,update mpvrb 74907updated,regaining os x,os x 1010yosemite,mpvrb 74907updated build
t9md,merge pull request,when using using,using using treesitter,request 1134 from,pull request 1134
takelley1,urxvt since tmux,tmux duplicates the,since tmux duplicates,second invocation of,remove second invocation
taylor,within seriescherry picked,to enable proper,seriescherry picked from,proper message ordering,picked from commit
tduplantis83,user profile slightly,random background images,more random background,modified user profile,images modified user
tjdwls3469,merge pull request,request 171 from,pull request 171,tjdwls3469featureissue82issue82 10430번 나머지,from tjdwls3469featureissue82issue82 10430번
trimstray,signedoffby trimstray trimstraygmailcom,resources signedoffby trimstray,minor fix external,fix external resources,external resources signedoffby
tuteng,verifying this change,the null value,a null value,with a null,the commands on
tylerthome,merge pull request,wsbuckpythonrequirementsupdateupdated server requirementstxt,toms technical discussion,request 296 from,request 294 from
veganinthestreets,merge pull request,request 1 from,pull request 1,request 2 from,pull request 2
vincenira,the changelog and,logic for github,for github actions,changelog and logic,and logic for
wandererfan,tdfix 4234 initial,tdadjust symbol location,symbol location for,of section label,location for font
wmay,wfml flags closes,quarter wfml flags,flags closes 45,closes 45 and,and closes 46
wmayer,with proper enum,virtual method containsviewprovider,view but check,utf8 encoding for,to the first
xfmeng17,to how to,to find kth,to convert to,this problem is,sorted arraysremember this
y-yagi,merge pull request,from 121218 to,typesnode from 121218,121218 to 1312,yyagidependabotnpmandyarntypesnode1312bump typesnode from
yasiruRathnayaka97,merge pull request,request 7 from,pull request 7,yasirurathnayaka97masterleave functions added,from yasirurathnayaka97masterleave functions
ymatuhin,v202rewrote checking logic,v202 update npm,update npm scripts,source changes for,scripts htmlnano config
yosifkit,merge pull request,variant of redisbasics,tls variant of,request 7219 from,pull request 7219
youssef muhamad,to automate styleguide,prettier to automate,eslint and prettier,configure eslint and,automate styleguide formatting
zachhildreth,previous block hash,invalid previous block,hash from all,from all db,for invalid previous
zairazu,to 20191231 for,modified from 20191230,from 20191230 to,date modified from,20191231 for fireemsproblemcounts
zepumph,to ruler describer,ruler describer add,move jump alerts,jump alerts to,describer add jumpcenterkeyboardhint
zqf,the beginning or,that are the,tagging cells that,or end of,of a walk
zuquan song,zip tools when,when vm sets,vm sets up,vagrantfile update for,update for build
冉小龙,when the user,we need to,signedoffby xiaolongran rxlapacheorg,a null value,xiaolongran rxlapacheorg fixes
